,Host Country,Year,Region,Athlete,Sport,predict
154,BRA,2020,Sao Tome and Principe,3,2,1
155,BRA,2020,Saudi Arabia,10,5,1
156,BRA,2020,Senegal,22,8,0
157,BRA,2020,Serbia,103,14,34
158,BRA,2020,Seychelles,10,6,1
159,BRA,2020,Sierra Leone,4,2,1
160,BRA,2020,Slovakia,51,12,6
161,BRA,2020,Zimbabwe,30,7,4
162,BRA,2020,Saint Lucia,5,3,1
163,BRA,2020,Zambia,7,4,1
164,BRA,2020,"Virgin Islands, US",7,4,1
165,BRA,2020,"Virgin Islands, British",4,2,1
166,BRA,2020,Vietnam,22,10,1
167,BRA,2020,Venezuela,85,20,4
168,BRA,2020,Vanuatu,4,4,1
169,BRA,2020,Uzbekistan,70,15,4
170,BRA,2020,Uruguay,17,8,1
171,BRA,2020,United Arab Emirates,12,6,1
172,BRA,2020,Ukraine,204,24,20
173,BRA,2020,Uganda,21,3,1
174,BRA,2020,Yemen,3,3,0
175,BRA,2020,San Marino,4,2,1
176,BRA,2020,Samoa,8,5,0
177,BRA,2020,USA,555,33,258
178,BRA,2020,UK,360,26,64
179,BRA,2020,Trinidad,28,8,4
180,BRA,2020,Tonga,7,4,1
181,BRA,2020,Togo,5,3,1
182,BRA,2020,Timor-Leste,3,2,1
183,BRA,2020,Thailand,54,15,6
184,BRA,2020,Tanzania,7,3,1
185,BRA,2020,Tajikistan,7,4,2
186,BRA,2020,Taiwan,55,18,8
187,BRA,2020,Syria,7,5,1
188,BRA,2020,Switzerland,102,17,10
189,BRA,2020,Saint Vincent,4,2,0
190,BRA,2020,Sweden,150,22,24
191,BRA,2020,Suriname,6,4,0
192,BRA,2020,Sudan,6,3,1
193,BRA,2020,Sri Lanka,9,6,0
194,BRA,2020,Spain,307,28,56
195,BRA,2020,South Sudan,3,1,1
196,BRA,2020,South Africa,135,15,6
197,BRA,2020,Liechtenstein,3,2,0
198,BRA,2020,Somalia,2,1,1
199,BRA,2020,Turkey,100,21,11
200,BRA,2020,Turkmenistan,9,5,0
201,BRA,2020,Swaziland,2,1,0
202,BRA,2020,Solomon Islands,3,2,1
