,Host Country,Year,Region,Athlete,Sport,Medals,predict
140,JPN,2020,Philippines,13,8,1,1
141,JPN,2020,Poland,234,24,16,15
142,JPN,2020,Portugal,90,17,1,2
143,JPN,2020,Puerto Rico,40,15,1,1
144,JPN,2020,Qatar,37,10,1,2
145,JPN,2020,Republic of Congo,10,5,0,1
146,JPN,2020,Romania,95,15,16,23
147,JPN,2020,New Zealand,195,20,36,30
148,JPN,2020,Russia,284,29,115,113
149,JPN,2020,Paraguay,11,7,0,2
150,JPN,2020,Peru,29,11,0,1
151,JPN,2020,American Samoa,4,3,0,1
152,JPN,2020,South Korea,207,26,26,39
153,JPN,2020,Tunisia,61,17,3,5
154,JPN,2020,Sao Tome and Principe,3,2,0,1
155,JPN,2020,Saudi Arabia,10,5,0,1
156,JPN,2020,Senegal,22,8,0,0
157,JPN,2020,Serbia,103,14,54,34
158,JPN,2020,Seychelles,10,6,0,1
159,JPN,2020,Sierra Leone,4,2,0,1
160,JPN,2020,Slovakia,51,12,8,6
161,JPN,2020,Zimbabwe,30,7,0,4
162,JPN,2020,Saint Lucia,5,3,0,1
163,JPN,2020,Zambia,7,4,0,1
164,JPN,2020,"Virgin Islands, US",7,4,0,1
165,JPN,2020,"Virgin Islands, British",4,2,0,1
166,JPN,2020,Vietnam,22,10,2,1
167,JPN,2020,Venezuela,85,20,3,4
168,JPN,2020,Vanuatu,4,4,0,1
169,JPN,2020,Uzbekistan,70,15,13,4
170,JPN,2020,Uruguay,17,8,0,1
171,JPN,2020,United Arab Emirates,12,6,1,1
172,JPN,2020,Ukraine,204,24,15,20
173,JPN,2020,Uganda,21,3,0,1
174,JPN,2020,Yemen,3,3,0,0
175,JPN,2020,San Marino,4,2,0,1
176,JPN,2020,Samoa,8,5,0,0
177,JPN,2020,USA,555,33,264,258
178,JPN,2020,UK,360,26,145,64
179,JPN,2020,Trinidad,28,8,1,4
180,JPN,2020,Tonga,7,4,0,1
181,JPN,2020,Togo,5,3,0,1
182,JPN,2020,Timor-Leste,3,2,0,1
183,JPN,2020,Thailand,54,15,6,6
184,JPN,2020,Tanzania,7,3,0,1
185,JPN,2020,Tajikistan,7,4,1,2
186,JPN,2020,Taiwan,55,18,5,8
187,JPN,2020,Syria,7,5,0,1
188,JPN,2020,Switzerland,102,17,11,10
189,JPN,2020,Saint Vincent,4,2,0,0
190,JPN,2020,Sweden,150,22,28,24
191,JPN,2020,Suriname,6,4,0,0
192,JPN,2020,Sudan,6,3,0,1
193,JPN,2020,Sri Lanka,9,6,0,0
194,JPN,2020,Spain,307,28,45,56
195,JPN,2020,South Sudan,3,1,0,1
196,JPN,2020,South Africa,135,15,23,6
197,JPN,2020,Liechtenstein,3,2,0,0
198,JPN,2020,Somalia,2,1,0,1
199,JPN,2020,Turkey,100,21,8,11
200,JPN,2020,Turkmenistan,9,5,0,0
201,JPN,2020,Swaziland,2,1,0,0
202,JPN,2020,Solomon Islands,3,2,0,1
